tipo,codigo
correto,CP1A2A_DSP1C_PEE1A2A3C
correto,CP1A2A_DSP1C_PEE1A2B3A
correto,CP1A2A_DSP1C_PEE1A2B3B
correto,CP1A2A_DSP1C_PEE1A2B3C
correto,CP1A2A_DSP1C_PEE1A2C3A
correto,CP1A2A_DSP1C_PEE1A2C3B
correto,CP1A2A_DSP1C_PEE1A2C3C
correto,CP1A2A_DSP1C_PEE1A2D3A
correto,CP1A2A_DSP1C_PEE1A2D3B
correto,CP1A2A_DSP1C_PEE1A2D3C
correto,CP1A2A_DSP1C_PEE1B2A3A
correto,CP1A2A_DSP1C_PEE1B2A3B
correto,CP1A2A_DSP1C_PEE1B2A3C
correto,CP1A2A_DSP1C_PEE1B2B3A
correto,CP1A2A_DSP1C_PEE1B2B3B
correto,CP1A2A_DSP1C_PEE1B2B3C
correto,CP1A2A_DSP1C_PEE1B2C3A
correto,CP1A2A_DSP1C_PEE1B2C3B
correto,CP1A2A_DSP1C_PEE1B2C3C
correto,CP1A2A_DSP1C_PEE1B2D3A
correto,CP1A2A_DSP1C_PEE1B2D3B
correto,CP1A2A_DSP1C_PEE1B2D3C
correto,CP1A2A_DSP1C_PEE1C2A3A
correto,CP1A2A_DSP1C_PEE1C2A3B
correto,CP1A2A_DSP1C_PEE1C2A3C
correto,CP1A2A_DSP1C_PEE1C2B3A
correto,CP1A2A_DSP1C_PEE1C2B3B
correto,CP1A2A_DSP1C_PEE1C2B3C
correto,CP1A2A_DSP1C_PEE1C2C3A
correto,CP1A2A_DSP1C_PEE1C2C3B
correto,CP1A2A_DSP1C_PEE1C2C3C
correto,CP1A2A_DSP1C_PEE1C2D3A
correto,CP1A2A_DSP1C_PEE1C2D3B
correto,CP1A2A_DSP1C_PEE1C2D3C
correto,CP1A2A_DSP1C_PEE1D2A3A
correto,CP1A2A_DSP1C_PEE1D2A3B
correto,CP1A2A_DSP1C_PEE1D2A3C
correto,CP1A2A_DSP1C_PEE1D2B3A
correto,CP1A2A_DSP1C_PEE1D2B3B
correto,CP1A2A_DSP1C_PEE1D2B3C
correto,CP1A2A_DSP1C_PEE1D2C3A
correto,CP1A2A_DSP1C_PEE1D2C3B
correto,CP1A2A_DSP1C_PEE1D2C3C
correto,CP1A2A_DSP1C_PEE1D2D3A
correto,CP1A2A_DSP1C_PEE1D2D3B
correto,CP1A2A_DSP1C_PEE1D2D3C
correto,CP1A2A_DSP1C_PEE1E2A3A
correto,CP1A2A_DSP1C_PEE1E2A3B
correto,CP1A2A_DSP1C_PEE1E2A3C
correto,CP1A2A_DSP1C_PEE1E2B3A
correto,CP1A2A_DSP1C_PEE1E2B3B
correto,CP1A2A_DSP1C_PEE1E2B3C
correto,CP1A2A_DSP1C_PEE1E2C3A
correto,CP1A2A_DSP1C_PEE1E2C3B
correto,CP1A2A_DSP1C_PEE1E2C3C
correto,CP1A2A_DSP1C_PEE1E2D3A
correto,CP1A2A_DSP1C_PEE1E2D3B
correto,CP1A2A_DSP1C_PEE1E2D3C
correto,CP1A2B_DSP1A_PEE1A2A3A
correto,CP1A2B_DSP1A_PEE1A2A3B
correto,CP1A2B_DSP1A_PEE1A2A3C
correto,CP1A2B_DSP1A_PEE1A2B3A
correto,CP1A2B_DSP1A_PEE1A2B3B
correto,CP1A2B_DSP1A_PEE1A2B3C
correto,CP1A2B_DSP1A_PEE1A2C3A
correto,CP1A2B_DSP1A_PEE1A2C3B
correto,CP1A2B_DSP1A_PEE1A2C3C
correto,CP1A2B_DSP1A_PEE1A2D3A
correto,CP1A2B_DSP1A_PEE1A2D3B
correto,CP1A2B_DSP1A_PEE1A2D3C
correto,CP1A2B_DSP1A_PEE1B2A3A
correto,CP1A2B_DSP1A_PEE1B2A3B
correto,CP1A2B_DSP1A_PEE1B2A3C
correto,CP1A2B_DSP1A_PEE1B2B3A
correto,CP1A2B_DSP1A_PEE1B2B3B
correto,CP1A2B_DSP1A_PEE1B2B3C
correto,CP1A2B_DSP1A_PEE1B2C3A
correto,CP1A2B_DSP1A_PEE1B2C3B
correto,CP1A2B_DSP1A_PEE1B2C3C
correto,CP1A2B_DSP1A_PEE1B2D3A
correto,CP1A2B_DSP1A_PEE1B2D3B
correto,CP1A2B_DSP1A_PEE1B2D3C
correto,CP1A2B_DSP1A_PEE1C2A3A
correto,CP1A2B_DSP1A_PEE1C2A3B
correto,CP1A2B_DSP1A_PEE1C2A3C
correto,CP1A2B_DSP1A_PEE1C2B3A
correto,CP1A2B_DSP1A_PEE1C2B3B
correto,CP1A2B_DSP1A_PEE1C2B3C
correto,CP1A2B_DSP1A_PEE1C2C3A
correto,CP1A2B_DSP1A_PEE1C2C3B
correto,CP1A2B_DSP1A_PEE1C2C3C
correto,CP1A2B_DSP1A_PEE1C2D3A
correto,CP1A2B_DSP1A_PEE1C2D3B
correto,CP1A2B_DSP1A_PEE1C2D3C
correto,CP1A2B_DSP1A_PEE1D2A3A
correto,CP1A2B_DSP1A_PEE1D2A3B
correto,CP1A2B_DSP1A_PEE1D2A3C
correto,CP1A2B_DSP1A_PEE1D2B3A
correto,CP1A2B_DSP1A_PEE1D2B3B
correto,CP1A2B_DSP1A_PEE1D2B3C
correto,CP1A2B_DSP1A_PEE1D2C3A
correto,CP1A2B_DSP1A_PEE1D2C3B
correto,CP1A2B_DSP1A_PEE1D2C3C
correto,CP1A2B_DSP1A_PEE1D2D3A
correto,CP1A2B_DSP1A_PEE1D2D3B
correto,CP1A2B_DSP1A_PEE1D2D3C
correto,CP1A2B_DSP1A_PEE1E2A3A
correto,CP1A2B_DSP1A_PEE1E2A3B
correto,CP1A2B_DSP1A_PEE1E2A3C
correto,CP1A2B_DSP1A_PEE1E2B3A
correto,CP1A2B_DSP1A_PEE1E2B3B
correto,CP1A2B_DSP1A_PEE1E2B3C
correto,CP1A2B_DSP1A_PEE1E2C3A
correto,CP1A2B_DSP1A_PEE1E2C3B
correto,CP1A2B_DSP1A_PEE1E2C3C
correto,CP1A2B_DSP1A_PEE1E2D3A
correto,CP1A2B_DSP1A_PEE1E2D3B
correto,CP1A2B_DSP1A_PEE1E2D3C
correto,CP1A2B_DSP1B_PEE1A2A3A
correto,CP1A2B_DSP1B_PEE1A2A3B
correto,CP1A2B_DSP1B_PEE1A2A3C
correto,CP1A2B_DSP1B_PEE1A2B3A
correto,CP1A2B_DSP1B_PEE1A2B3B
correto,CP1A2B_DSP1B_PEE1A2B3C
correto,CP1A2B_DSP1B_PEE1A2C3A
correto,CP1A2B_DSP1B_PEE1A2C3B
correto,CP1A2B_DSP1B_PEE1A2C3C
correto,CP1A2B_DSP1B_PEE1A2D3A
correto,CP1A2B_DSP1B_PEE1A2D3B
correto,CP1A2B_DSP1B_PEE1A2D3C
correto,CP1A2B_DSP1B_PEE1B2A3A
correto,CP1A2B_DSP1B_PEE1B2A3B
correto,CP1A2B_DSP1B_PEE1B2A3C
correto,CP1A2B_DSP1B_PEE1B2B3A
correto,CP1A2B_DSP1B_PEE1B2B3B
correto,CP1A2B_DSP1B_PEE1B2B3C
correto,CP1A2B_DSP1B_PEE1B2C3A
correto,CP1A2B_DSP1B_PEE1B2C3B
correto,CP1A2B_DSP1B_PEE1B2C3C
correto,CP1A2B_DSP1B_PEE1B2D3A
correto,CP1A2B_DSP1B_PEE1B2D3B
correto,CP1A2B_DSP1B_PEE1B2D3C
correto,CP1A2B_DSP1B_PEE1C2A3A
correto,CP1A2B_DSP1B_PEE1C2A3B
correto,CP1A2B_DSP1B_PEE1C2A3C
correto,CP1A2B_DSP1B_PEE1C2B3A
correto,CP1A2B_DSP1B_PEE1C2B3B
correto,CP1A2B_DSP1B_PEE1C2B3C
correto,CP1A2B_DSP1B_PEE1C2C3A
correto,CP1A2B_DSP1B_PEE1C2C3B
correto,CP1A2B_DSP1B_PEE1C2C3C
correto,CP1A2B_DSP1B_PEE1C2D3A
correto,CP1A2B_DSP1B_PEE1C2D3B
correto,CP1A2B_DSP1B_PEE1C2D3C
correto,CP1A2B_DSP1B_PEE1D2A3A
correto,CP1A2B_DSP1B_PEE1D2A3B
correto,CP1A2B_DSP1B_PEE1D2A3C
correto,CP1A2B_DSP1B_PEE1D2B3A
correto,CP1A2B_DSP1B_PEE1D2B3B
correto,CP1A2B_DSP1B_PEE1D2B3C
correto,CP1A2B_DSP1B_PEE1D2C3A
correto,CP1A2B_DSP1B_PEE1D2C3B
correto,CP1A2B_DSP1B_PEE1D2C3C
correto,CP1A2B_DSP1B_PEE1D2D3A
correto,CP1A2B_DSP1B_PEE1D2D3B
correto,CP1A2B_DSP1B_PEE1D2D3C
correto,CP1A2B_DSP1B_PEE1E2A3A
correto,CP1A2B_DSP1B_PEE1E2A3B
correto,CP1A2B_DSP1B_PEE1E2A3C
correto,CP1A2B_DSP1B_PEE1E2B3A
correto,CP1A2B_DSP1B_PEE1E2B3B
correto,CP1A2B_DSP1B_PEE1E2B3C
correto,CP1A2B_DSP1B_PEE1E2C3A
correto,CP1A2B_DSP1B_PEE1E2C3B
correto,CP1A2B_DSP1B_PEE1E2C3C
correto,CP1A2B_DSP1B_PEE1E2D3A
correto,CP1A2B_DSP1B_PEE1E2D3B
correto,CP1A2B_DSP1B_PEE1E2D3C
correto,CP1A2B_DSP1C_PEE1A2A3A
correto,CP1A2B_DSP1C_PEE1A2A3B
correto,CP1A2B_DSP1C_PEE1A2A3C
correto,CP1A2B_DSP1C_PEE1A2B3A
correto,CP1A2B_DSP1C_PEE1A2B3B
correto,CP1A2B_DSP1C_PEE1A2B3C
correto,CP1A2B_DSP1C_PEE1A2C3A
correto,CP1A2B_DSP1C_PEE1A2C3B
correto,CP1A2B_DSP1C_PEE1A2C3C
correto,CP1A2B_DSP1C_PEE1A2D3A
correto,CP1A2B_DSP1C_PEE1A2D3B
correto,CP1A2B_DSP1C_PEE1A2D3C
correto,CP1A2B_DSP1C_PEE1B2A3A
correto,CP1A2B_DSP1C_PEE1B2A3B
correto,CP1A2B_DSP1C_PEE1B2A3C
correto,CP1A2B_DSP1C_PEE1B2B3A
correto,CP1A2B_DSP1C_PEE1B2B3B
correto,CP1A2B_DSP1C_PEE1B2B3C
correto,CP1A2B_DSP1C_PEE1B2C3A
correto,CP1A2B_DSP1C_PEE1B2C3B
correto,CP1A2B_DSP1C_PEE1B2C3C
correto,CP1A2B_DSP1C_PEE1B2D3A
correto,CP1A2B_DSP1C_PEE1B2D3B
correto,CP1A2B_DSP1C_PEE1B2D3C
correto,CP1A2B_DSP1C_PEE1C2A3A
correto,CP1A2B_DSP1C_PEE1C2A3B
correto,CP1A2B_DSP1C_PEE1C2A3C
correto,CP1A2B_DSP1C_PEE1C2B3A
correto,CP1A2B_DSP1C_PEE1C2B3B
correto,CP1A2B_DSP1C_PEE1C2B3C
correto,CP1A2B_DSP1C_PEE1C2C3A
correto,CP1A2B_DSP1C_PEE1C2C3B
correto,CP1A2B_DSP1C_PEE1C2C3C
correto,CP1A2B_DSP1C_PEE1C2D3A
correto,CP1A2B_DSP1C_PEE1C2D3B
correto,CP1A2B_DSP1C_PEE1C2D3C
correto,CP1A2B_DSP1C_PEE1D2A3A
correto,CP1A2B_DSP1C_PEE1D2A3B
correto,CP1A2B_DSP1C_PEE1D2A3C
correto,CP1A2B_DSP1C_PEE1D2B3A
correto,CP1A2B_DSP1C_PEE1D2B3B
correto,CP1A2B_DSP1C_PEE1D2B3C
correto,CP1A2B_DSP1C_PEE1D2C3A
correto,CP1A2B_DSP1C_PEE1D2C3B
correto,CP1A2B_DSP1C_PEE1D2C3C
correto,CP1A2B_DSP1C_PEE1D2D3A
correto,CP1A2B_DSP1C_PEE1D2D3B
correto,CP1A2B_DSP1C_PEE1D2D3C
correto,CP1A2B_DSP1C_PEE1E2A3A
correto,CP1A2B_DSP1C_PEE1E2A3B
correto,CP1A2B_DSP1C_PEE1E2A3C
correto,CP1A2B_DSP1C_PEE1E2B3A
correto,CP1A2B_DSP1C_PEE1E2B3B
correto,CP1A2B_DSP1C_PEE1E2B3C
correto,CP1A2B_DSP1C_PEE1E2C3A
correto,CP1A2B_DSP1C_PEE1E2C3B
correto,CP1A2B_DSP1C_PEE1E2C3C
correto,CP1A2B_DSP1C_PEE1E2D3A
correto,CP1A2B_DSP1C_PEE1E2D3B
correto,CP1A2B_DSP1C_PEE1E2D3C
correto,CP1A2C_DSP1A_PEE1A2A3A
correto,CP1A2C_DSP1A_PEE1A2A3B
correto,CP1A2C_DSP1A_PEE1A2A3C
correto,CP1A2C_DSP1A_PEE1A2B3A
correto,CP1A2C_DSP1A_PEE1A2B3B
correto,CP1A2C_DSP1A_PEE1A2B3C
correto,CP1A2C_DSP1A_PEE1A2C3A
correto,CP1A2C_DSP1A_PEE1A2C3B
correto,CP1A2C_DSP1A_PEE1A2C3C
correto,CP1A2C_DSP1A_PEE1A2D3A
correto,CP1A2C_DSP1A_PEE1A2D3B
correto,CP1A2C_DSP1A_PEE1A2D3C
correto,CP1A2C_DSP1A_PEE1B2A3A
correto,CP1A2C_DSP1A_PEE1B2A3B
correto,CP1A2C_DSP1A_PEE1B2A3C
correto,CP1A2C_DSP1A_PEE1B2B3A
correto,CP1A2C_DSP1A_PEE1B2B3B
correto,CP1A2C_DSP1A_PEE1B2B3C
correto,CP1A2C_DSP1A_PEE1B2C3A
correto,CP1A2C_DSP1A_PEE1B2C3B
correto,CP1A2C_DSP1A_PEE1B2C3C
correto,CP1A2C_DSP1A_PEE1B2D3A
correto,CP1A2C_DSP1A_PEE1B2D3B
correto,CP1A2C_DSP1A_PEE1B2D3C
correto,CP1A2C_DSP1A_PEE1C2A3A
correto,CP1A2C_DSP1A_PEE1C2A3B
correto,CP1A2C_DSP1A_PEE1C2A3C
correto,CP1A2C_DSP1A_PEE1C2B3A
correto,CP1A2C_DSP1A_PEE1C2B3B
correto,CP1A2C_DSP1A_PEE1C2B3C
correto,CP1A2C_DSP1A_PEE1C2C3A
correto,CP1A2C_DSP1A_PEE1C2C3B
correto,CP1A2C_DSP1A_PEE1C2C3C
correto,CP1A2C_DSP1A_PEE1C2D3A
correto,CP1A2C_DSP1A_PEE1C2D3B
correto,CP1A2C_DSP1A_PEE1C2D3C
correto,CP1A2C_DSP1A_PEE1D2A3A
correto,CP1A2C_DSP1A_PEE1D2A3B
correto,CP1A2C_DSP1A_PEE1D2A3C
correto,CP1A2C_DSP1A_PEE1D2B3A
correto,CP1A2C_DSP1A_PEE1D2B3B
correto,CP1A2C_DSP1A_PEE1D2B3C
correto,CP1A2C_DSP1A_PEE1D2C3A
correto,CP1A2C_DSP1A_PEE1D2C3B
correto,CP1A2C_DSP1A_PEE1D2C3C
correto,CP1A2C_DSP1A_PEE1D2D3A
correto,CP1A2C_DSP1A_PEE1D2D3B
correto,CP1A2C_DSP1A_PEE1D2D3C
correto,CP1A2C_DSP1A_PEE1E2A3A
correto,CP1A2C_DSP1A_PEE1E2A3B
correto,CP1A2C_DSP1A_PEE1E2A3C
correto,CP1A2C_DSP1A_PEE1E2B3A
correto,CP1A2C_DSP1A_PEE1E2B3B
correto,CP1A2C_DSP1A_PEE1E2B3C
correto,CP1A2C_DSP1A_PEE1E2C3A
correto,CP1A2C_DSP1A_PEE1E2C3B
correto,CP1A2C_DSP1A_PEE1E2C3C
correto,CP1A2C_DSP1A_PEE1E2D3A
correto,CP1A2C_DSP1A_PEE1E2D3B
correto,CP1A2C_DSP1A_PEE1E2D3C
correto,CP1A2C_DSP1B_PEE1A2A3A
correto,CP1A2C_DSP1B_PEE1A2A3B
correto,CP1A2C_DSP1B_PEE1A2A3C
correto,CP1A2C_DSP1B_PEE1A2B3A
correto,CP1A2C_DSP1B_PEE1A2B3B
correto,CP1A2C_DSP1B_PEE1A2B3C
correto,CP1A2C_DSP1B_PEE1A2C3A
correto,CP1A2C_DSP1B_PEE1A2C3B
correto,CP1A2C_DSP1B_PEE1A2C3C
correto,CP1A2C_DSP1B_PEE1A2D3A
correto,CP1A2C_DSP1B_PEE1A2D3B
correto,CP1A2C_DSP1B_PEE1A2D3C
correto,CP1A2C_DSP1B_PEE1B2A3A
correto,CP1A2C_DSP1B_PEE1B2A3B
correto,CP1A2C_DSP1B_PEE1B2A3C
correto,CP1A2C_DSP1B_PEE1B2B3A
correto,CP1A2C_DSP1B_PEE1B2B3B
correto,CP1A2C_DSP1B_PEE1B2B3C
correto,CP1A2C_DSP1B_PEE1B2C3A
correto,CP1A2C_DSP1B_PEE1B2C3B
correto,CP1A2C_DSP1B_PEE1B2C3C
correto,CP1A2C_DSP1B_PEE1B2D3A
correto,CP1A2C_DSP1B_PEE1B2D3B
correto,CP1A2C_DSP1B_PEE1B2D3C
correto,CP1A2C_DSP1B_PEE1C2A3A
correto,CP1A2C_DSP1B_PEE1C2A3B
correto,CP1A2C_DSP1B_PEE1C2A3C
correto,CP1A2C_DSP1B_PEE1C2B3A
correto,CP1A2C_DSP1B_PEE1C2B3B
correto,CP1A2C_DSP1B_PEE1C2B3C
correto,CP1A2C_DSP1B_PEE1C2C3A
correto,CP1A2C_DSP1B_PEE1C2C3B
correto,CP1A2C_DSP1B_PEE1C2C3C
correto,CP1A2C_DSP1B_PEE1C2D3A
correto,CP1A2C_DSP1B_PEE1C2D3B
correto,CP1A2C_DSP1B_PEE1C2D3C
correto,CP1A2C_DSP1B_PEE1D2A3A
correto,CP1A2C_DSP1B_PEE1D2A3B
correto,CP1A2C_DSP1B_PEE1D2A3C
correto,CP1A2C_DSP1B_PEE1D2B3A
correto,CP1A2C_DSP1B_PEE1D2B3B
correto,CP1A2C_DSP1B_PEE1D2B3C
correto,CP1A2C_DSP1B_PEE1D2C3A
correto,CP1A2C_DSP1B_PEE1D2C3B
correto,CP1A2C_DSP1B_PEE1D2C3C
correto,CP1A2C_DSP1B_PEE1D2D3A
correto,CP1A2C_DSP1B_PEE1D2D3B
correto,CP1A2C_DSP1B_PEE1D2D3C
correto,CP1A2C_DSP1B_PEE1E2A3A
correto,CP1A2C_DSP1B_PEE1E2A3B
correto,CP1A2C_DSP1B_PEE1E2A3C
correto,CP1A2C_DSP1B_PEE1E2B3A
correto,CP1A2C_DSP1B_PEE1E2B3B
correto,CP1A2C_DSP1B_PEE1E2B3C
correto,CP1A2C_DSP1B_PEE1E2C3A
correto,CP1A2C_DSP1B_PEE1E2C3B
correto,CP1A2C_DSP1B_PEE1E2C3C
correto,CP1A2C_DSP1B_PEE1E2D3A
correto,CP1A2C_DSP1B_PEE1E2D3B
correto,CP1A2C_DSP1B_PEE1E2D3C
correto,CP1A2C_DSP1C_PEE1A2A3A
correto,CP1A2C_DSP1C_PEE1A2A3B
correto,CP1A2C_DSP1C_PEE1A2A3C
correto,CP1A2C_DSP1C_PEE1A2B3A
correto,CP1A2C_DSP1C_PEE1A2B3B
correto,CP1A2C_DSP1C_PEE1A2B3C
correto,CP1A2C_DSP1C_PEE1A2C3A
correto,CP1A2C_DSP1C_PEE1A2C3B
correto,CP1A2C_DSP1C_PEE1A2C3C
correto,CP1A2C_DSP1C_PEE1A2D3A
correto,CP1A2C_DSP1C_PEE1A2D3B
correto,CP1A2C_DSP1C_PEE1A2D3C
correto,CP1A2C_DSP1C_PEE1B2A3A
correto,CP1A2C_DSP1C_PEE1B2A3B
correto,CP1A2C_DSP1C_PEE1B2A3C
correto,CP1A2C_DSP1C_PEE1B2B3A
correto,CP1A2C_DSP1C_PEE1B2B3B
correto,CP1A2C_DSP1C_PEE1B2B3C
correto,CP1A2C_DSP1C_PEE1B2C3A
correto,CP1A2C_DSP1C_PEE1B2C3B
correto,CP1A2C_DSP1C_PEE1B2C3C
correto,CP1A2C_DSP1C_PEE1B2D3A
correto,CP1A2C_DSP1C_PEE1B2D3B
correto,CP1A2C_DSP1C_PEE1B2D3C
correto,CP1A2C_DSP1C_PEE1C2A3A
correto,CP1A2C_DSP1C_PEE1C2A3B
correto,CP1A2C_DSP1C_PEE1C2A3C
correto,CP1A2C_DSP1C_PEE1C2B3A
correto,CP1A2C_DSP1C_PEE1C2B3B
correto,CP1A2C_DSP1C_PEE1C2B3C
correto,CP1A2C_DSP1C_PEE1C2C3A
correto,CP1A2C_DSP1C_PEE1C2C3B
correto,CP1A2C_DSP1C_PEE1C2C3C
correto,CP1A2C_DSP1C_PEE1C2D3A
correto,CP1A2C_DSP1C_PEE1C2D3B
correto,CP1A2C_DSP1C_PEE1C2D3C
correto,CP1A2C_DSP1C_PEE1D2A3A
correto,CP1A2C_DSP1C_PEE1D2A3B
correto,CP1A2C_DSP1C_PEE1D2A3C
correto,CP1A2C_DSP1C_PEE1D2B3A
correto,CP1A2C_DSP1C_PEE1D2B3B
correto,CP1A2C_DSP1C_PEE1D2B3C
correto,CP1A2C_DSP1C_PEE1D2C3A
correto,CP1A2C_DSP1C_PEE1D2C3B
correto,CP1A2C_DSP1C_PEE1D2C3C
correto,CP1A2C_DSP1C_PEE1D2D3A
correto,CP1A2C_DSP1C_PEE1D2D3B
correto,CP1A2C_DSP1C_PEE1D2D3C
correto,CP1A2C_DSP1C_PEE1E2A3A
correto,CP1A2C_DSP1C_PEE1E2A3B
correto,CP1A2C_DSP1C_PEE1E2A3C
correto,CP1A2C_DSP1C_PEE1E2B3A
correto,CP1A2C_DSP1C_PEE1E2B3B
correto,CP1A2C_DSP1C_PEE1E2B3C
correto,CP1A2C_DSP1C_PEE1E2C3A
correto,CP1A2C_DSP1C_PEE1E2C3B
correto,CP1A2C_DSP1C_PEE1E2C3C
